lat,lon,pm25_annual,side
22.905000686645508,72.40499877929688,54.14166259765625,West
22.905000686645508,72.41500091552734,55.80833053588867,West
22.905000686645508,72.42500305175781,56.80833435058594,West
22.905000686645508,72.43499755859375,56.30833053588867,West
22.905000686645508,72.44499969482422,54.74166488647461,West
22.905000686645508,72.45500183105469,53.125,West
22.905000686645508,72.46499633789062,52.25,West
22.905000686645508,72.4749984741211,52.44166564941406,West
22.905000686645508,72.48500061035156,52.4083366394043,West
22.905000686645508,72.49500274658203,51.241668701171875,West
22.905000686645508,72.50499725341797,51.04166793823242,West
22.905000686645508,72.51499938964844,51.4666633605957,West
22.905000686645508,72.5250015258789,52.508331298828125,West
22.905000686645508,72.53500366210938,53.63334274291992,West
22.905000686645508,72.54499816894531,54.52499771118164,West
22.905000686645508,72.55500030517578,54.89167404174805,West
22.905000686645508,72.56500244140625,55.05833435058594,West
22.905000686645508,72.57499694824219,55.35000228881836,East
22.905000686645508,72.58499908447266,56.391666412353516,East
22.905000686645508,72.59500122070312,56.0,East
22.905000686645508,72.6050033569336,54.60833740234375,East
22.905000686645508,72.61499786376953,53.41666793823242,East
22.905000686645508,72.625,52.54999923706055,East
22.905000686645508,72.63500213623047,51.66666793823242,East
22.905000686645508,72.6449966430664,51.2833366394043,East
22.905000686645508,72.65499877929688,50.81666564941406,East
22.905000686645508,72.66500091552734,51.19166564941406,East
22.905000686645508,72.67500305175781,51.20833969116211,East
22.905000686645508,72.68499755859375,50.516666412353516,East
22.905000686645508,72.69499969482422,49.67500305175781,East
22.905000686645508,72.70500183105469,48.74166488647461,East
22.905000686645508,72.71499633789062,48.45000076293945,East
22.905000686645508,72.7249984741211,48.591670989990234,East
22.905000686645508,72.73500061035156,48.56666564941406,East
22.905000686645508,72.74500274658203,47.9666633605957,East
22.915000915527344,72.40499877929688,53.79166793823242,West
22.915000915527344,72.41500091552734,56.01667404174805,West
22.915000915527344,72.42500305175781,58.016666412353516,West
22.915000915527344,72.43499755859375,58.79166793823242,West
22.915000915527344,72.44499969482422,57.19166946411133,West
22.915000915527344,72.45500183105469,54.69166564941406,West
22.915000915527344,72.46499633789062,52.70833969116211,West
22.915000915527344,72.4749984741211,52.366668701171875,West
22.915000915527344,72.48500061035156,52.408329010009766,West
22.915000915527344,72.49500274658203,51.68333053588867,West
22.915000915527344,72.50499725341797,51.04166793823242,West
22.915000915527344,72.51499938964844,51.60000228881836,West
22.915000915527344,72.5250015258789,52.82499694824219,West
22.915000915527344,72.53500366210938,54.10000228881836,West
22.915000915527344,72.54499816894531,55.20833206176758,West
22.915000915527344,72.55500030517578,55.32500076293945,West
22.915000915527344,72.56500244140625,54.92499923706055,West
22.915000915527344,72.57499694824219,55.23332595825195,East
22.915000915527344,72.58499908447266,55.6583251953125,East
22.915000915527344,72.59500122070312,55.69999694824219,East
22.915000915527344,72.6050033569336,54.17499923706055,East
