lat,lon,pm25_annual,side
23.03499984741211,72.4749984741211,63.56666946411133,West
23.03499984741211,72.48500061035156,63.25,West
23.024999618530273,72.48500061035156,62.77500534057617,West
23.03499984741211,72.49500274658203,62.73333740234375,West
23.024999618530273,72.4749984741211,62.54166793823242,West
23.03499984741211,72.46499633789062,61.92500305175781,West
22.954999923706055,72.59500122070312,61.891666412353516,East
22.954999923706055,72.6050033569336,61.858333587646484,East
22.96500015258789,72.59500122070312,61.67499923706055,East
23.045000076293945,72.4749984741211,61.44166564941406,West
23.084999084472656,72.53500366210938,61.38333511352539,West
22.954999923706055,72.61499786376953,61.29166793823242,East
23.045000076293945,72.48500061035156,61.266666412353516,West
22.96500015258789,72.6050033569336,61.25,East
23.045000076293945,72.49500274658203,61.06666564941406,West
22.975000381469727,72.56500244140625,60.983333587646484,West
23.024999618530273,72.46499633789062,60.91666793823242,West
22.985000610351562,72.56500244140625,60.883331298828125,West
22.975000381469727,72.59500122070312,60.85833740234375,East
23.045000076293945,72.46499633789062,60.8416633605957,West
23.03499984741211,72.50499725341797,60.741668701171875,West
23.094999313354492,72.53500366210938,60.725006103515625,West
23.075000762939453,72.5250015258789,60.69166946411133,West
22.954999923706055,72.58499908447266,60.6916618347168,East
23.024999618530273,72.49500274658203,60.49165725708008,West
23.084999084472656,72.5250015258789,60.41666793823242,West
22.9950008392334,72.53500366210938,60.374996185302734,West
22.985000610351562,72.51499938964844,60.358333587646484,West
23.045000076293945,72.50499725341797,60.33333206176758,West
22.985000610351562,72.50499725341797,60.30833053588867,West
22.975000381469727,72.55500030517578,60.283329010009766,West
23.075000762939453,72.53500366210938,60.216670989990234,West
22.924999237060547,72.43499755859375,60.2166633605957,West
23.084999084472656,72.54499816894531,60.19166564941406,West
22.9950008392334,72.51499938964844,60.18333435058594,West
22.94499969482422,72.6050033569336,60.05000305175781,East
22.985000610351562,72.55500030517578,59.991668701171875,West
22.96500015258789,72.58499908447266,59.90000534057617,East
22.985000610351562,72.57499694824219,59.85833740234375,East
22.9950008392334,72.5250015258789,59.85833740234375,West
22.96500015258789,72.61499786376953,59.8416633605957,East
22.975000381469727,72.6050033569336,59.783329010009766,East
23.075000762939453,72.51499938964844,59.75,West
23.014999389648438,72.49500274658203,59.73333740234375,West
22.975000381469727,72.57499694824219,59.70000076293945,East
23.0049991607666,72.53500366210938,59.6916618347168,West
23.05500030517578,72.50499725341797,59.67499923706055,West
23.065000534057617,72.51499938964844,59.63333511352539,West
23.024999618530273,72.50499725341797,59.57500076293945,West
22.985000610351562,72.59500122070312,59.5333366394043,East
23.014999389648438,72.48500061035156,59.52499771118164,West
22.94499969482422,72.61499786376953,59.50833511352539,East
22.975000381469727,72.50499725341797,59.508331298828125,West
23.0049991607666,72.5250015258789,59.500003814697266,West
22.9950008392334,72.54499816894531,59.47500228881836,West
22.9950008392334,72.50499725341797,59.4666633605957,West
22.985000610351562,72.58499908447266,59.45833206176758,East
22.985000610351562,72.5250015258789,59.44999694824219,West
23.094999313354492,72.54499816894531,59.44999694824219,West
22.94499969482422,72.45500183105469,59.43333053588867,West
23.014999389648438,72.4749984741211,59.42500305175781,West
22.94499969482422,72.59500122070312,59.366668701171875,East
23.05500030517578,72.51499938964844,59.341670989990234,West
22.934999465942383,72.44499969482422,59.19166946411133,West
22.985000610351562,72.6050033569336,59.18333435058594,East
23.094999313354492,72.5250015258789,59.15000534057617,West
23.065000534057617,72.5250015258789,59.08333206176758,West
23.0049991607666,72.50499725341797,59.008331298828125,West
22.924999237060547,72.44499969482422,58.991668701171875,West
23.014999389648438,72.46499633789062,58.991668701171875,West
22.985000610351562,72.54499816894531,58.9666633605957,West
22.975000381469727,72.58499908447266,58.95833206176758,East
22.985000610351562,72.53500366210938,58.95000076293945,West
23.0049991607666,72.54499816894531,58.92499923706055,West
22.975000381469727,72.51499938964844,58.91666793823242,West
23.075000762939453,72.54499816894531,58.908329010009766,West
22.96500015258789,72.57499694824219,58.883331298828125,East
22.934999465942383,72.45500183105469,58.8416633605957,West
23.104999542236328,72.54499816894531,58.82500076293945,West
23.03499984741211,72.45500183105469,58.82499694824219,West
22.96500015258789,72.56500244140625,58.81666564941406,West
22.94499969482422,72.44499969482422,58.80000305175781,West
22.915000915527344,72.43499755859375,58.79166793823242,West
23.045000076293945,72.45500183105469,58.783329010009766,West
23.045000076293945,72.51499938964844,58.77499771118164,West
22.975000381469727,72.61499786376953,58.75,East
23.094999313354492,72.55500030517578,58.733333587646484,West
23.045000076293945,72.53500366210938,58.70833969116211,West
