framework,exposure_days,person_exposure_days,pm_burden_ug_m3_days,heat_burden_K_days,events,burden_per_event,ratio_to_hpe
HPE (Simultaneous),0,0,0.0,0.0,0,0.0,0.0
SCE-30 (Sequential),0,0,0.0,0.0,0,0.0,0.0
