time,merra2,cams
2019-01-01,27.908021926879883,134.9153
2019-01-02,25.756372451782227,123.03279
2019-01-03,27.22901153564453,108.645676
2019-01-04,27.62101936340332,159.0448
2019-01-05,38.15795135498047,144.33655
2019-01-06,49.29183578491211,97.768936
2019-01-07,62.502891540527344,118.567276
2019-01-08,51.105411529541016,126.41096
2019-01-09,49.90803909301758,130.14383
2019-01-10,38.380531311035156,152.17807
2019-01-11,33.319007873535156,130.8691
2019-01-12,38.087974548339844,130.86441
2019-01-13,42.20978546142578,118.69454
2019-01-14,58.223121643066406,100.24829
2019-01-15,52.01705551147461,136.33047
2019-01-16,36.15835189819336,132.57866
2019-01-17,35.07431411743164,130.06453
2019-01-18,28.48658561706543,111.186615
2019-01-19,21.10892105102539,114.61972
2019-01-20,37.433677673339844,137.54774
2019-01-21,68.50066375732422,111.55873
2019-01-22,47.193397521972656,129.90768
2019-01-23,34.6978874206543,109.173065
2019-01-24,38.91950988769531,67.2006
2019-01-25,28.471351623535156,56.574505
2019-01-26,25.39921760559082,63.747967
2019-01-27,25.818042755126953,59.227608
2019-01-28,34.59147262573242,74.76399
2019-01-29,29.80430030822754,84.768875
2019-01-30,27.7050724029541,132.805
2019-01-31,42.31645202636719,128.32895
2019-02-01,42.260833740234375,72.480896
2019-02-02,36.74087142944336,65.476875
2019-02-03,55.47420120239258,100.0741
2019-02-04,52.49656677246094,170.56535
2019-02-05,43.402435302734375,150.01425
2019-02-06,43.23331832885742,74.098404
2019-02-07,55.83903121948242,69.61851
2019-02-08,57.858402252197266,125.85545
2019-02-09,24.27560043334961,75.78063
2019-02-10,20.566064834594727,79.3182
2019-02-11,23.93424415588379,75.46437
2019-02-12,26.314285278320312,114.75575
2019-02-13,31.213775634765625,120.15926
2019-02-14,49.80670166015625,126.295456
2019-02-15,43.957366943359375,93.64369
2019-02-16,25.074214935302734,82.05969
2019-02-17,23.032581329345703,104.289856
2019-02-18,29.239137649536133,75.10127
2019-02-19,28.22832679748535,102.249435
2019-02-20,32.787200927734375,83.745094
2019-02-21,36.545955657958984,65.11452
2019-02-22,56.021018981933594,70.47891
2019-02-23,24.462238311767578,47.197407
2019-02-24,37.6285514831543,66.76202
2019-02-25,49.55393981933594,60.825314
2019-02-26,54.933902740478516,78.78346
2019-02-27,42.45918273925781,62.29772
2019-02-28,25.004070281982422,69.40439
2019-03-01,22.10626220703125,75.02882
2019-03-02,42.40412902832031,71.90386
2019-03-03,86.229248046875,105.82638
2019-03-04,64.82862091064453,82.748985
2019-03-05,52.659515380859375,79.29726
2019-03-06,36.505592346191406,95.5687
2019-03-07,43.423126220703125,120.37404
2019-03-08,41.26802444458008,74.49537
2019-03-09,55.359291076660156,91.499115
2019-03-10,54.24862289428711,80.10554
2019-03-11,34.812503814697266,55.316605
2019-03-12,41.379817962646484,81.67588
2019-03-13,39.9628791809082,60.08659
2019-03-14,47.69106674194336,73.17569
2019-03-15,31.388225555419922,65.569916
2019-03-16,30.259918212890625,58.19304
2019-03-17,26.410221099853516,49.08139
2019-03-18,22.377851486206055,57.101974
2019-03-19,43.12337875366211,72.78145
2019-03-20,50.94015884399414,54.760666
2019-03-21,42.552921295166016,87.64208
2019-03-22,32.48167037963867,76.26634
2019-03-23,50.69147872924805,80.48665
2019-03-24,61.708290100097656,83.22716
2019-03-25,79.25341033935547,91.443306
2019-03-26,31.40665054321289,77.12158
2019-03-27,21.74234390258789,59.56186
2019-03-28,45.76381301879883,75.41335
2019-03-29,59.36024475097656,67.32178
2019-03-30,62.10505294799805,66.2312
2019-03-31,60.0957145690918,69.67256
2019-04-01,44.53108215332031,78.66501
2019-04-02,47.619781494140625,87.22107
2019-04-03,40.02473449707031,72.316055
2019-04-04,40.32981491088867,63.929657
2019-04-05,42.02730941772461,55.10533
2019-04-06,38.34014892578125,51.48165
2019-04-07,38.897796630859375,45.507652
2019-04-08,35.453590393066406,41.9937
2019-04-09,35.35480499267578,42.752052
2019-04-10,35.3453483581543,52.241283
2019-04-11,54.22144317626953,61.341507
2019-04-12,52.51350402832031,64.61513
2019-04-13,47.44303512573242,63.94661
2019-04-14,40.92723846435547,81.52226
2019-04-15,57.824920654296875,121.60445
2019-04-16,47.553977966308594,76.421104
2019-04-17,38.02122497558594,47.588844
2019-04-18,36.85586929321289,55.594505
2019-04-19,17.75909996032715,39.144432
2019-04-20,35.10261917114258,56.39966
2019-04-21,45.88645935058594,53.59679
2019-04-22,37.91961669921875,63.67943
2019-04-23,39.87873458862305,66.7191
2019-04-24,41.870296478271484,65.38713
2019-04-25,40.56007385253906,66.39164
2019-04-26,47.03525924682617,65.64584
2019-04-27,48.80753707885742,70.21216
2019-04-28,52.560550689697266,69.06464
2019-04-29,51.78629684448242,69.92119
2019-04-30,54.52593231201172,60.712265
2019-05-01,89.56494903564453,105.191696
2019-05-02,60.92096710205078,64.32211
2019-05-03,57.43280029296875,65.36613
2019-05-04,45.787174224853516,67.007
2019-05-05,42.56862258911133,50.231823
2019-05-06,49.28765106201172,67.49946
2019-05-07,35.35979080200195,51.27861
2019-05-08,28.770082473754883,42.624447
2019-05-09,21.740816116333008,36.100212
2019-05-10,27.11210060119629,36.676132
2019-05-11,35.839847564697266,51.70359
2019-05-12,44.55583953857422,48.183167
2019-05-13,47.31028747558594,58.30364
2019-05-14,38.82786560058594,37.279675
2019-05-15,33.07653045654297,45.29486
2019-05-16,49.42914962768555,39.65507
2019-05-17,53.81824493408203,50.359695
2019-05-18,46.519412994384766,47.081448
2019-05-19,37.348079681396484,52.465057
2019-05-20,45.31017303466797,52.281128
2019-05-21,41.345272064208984,46.803085
2019-05-22,47.67857360839844,52.33419
2019-05-23,47.45418930053711,58.21769
2019-05-24,53.63855743408203,64.13251
2019-05-25,44.23872375488281,51.063606
2019-05-26,47.04140090942383,57.954144
2019-05-27,39.71620559692383,59.76841
2019-05-28,45.8126106262207,51.82586
2019-05-29,46.88270950317383,61.26049
2019-05-30,35.9725227355957,42.31087
2019-05-31,35.33659744262695,49.879757
2019-06-01,29.770458221435547,35.9479
2019-06-02,36.90900421142578,37.273945
2019-06-03,31.10495948791504,49.274773
2019-06-04,31.277379989624023,47.23564
2019-06-05,38.8015022277832,54.005287
2019-06-06,41.121124267578125,48.898712
2019-06-07,56.106929779052734,58.72268
2019-06-08,46.589027404785156,44.310364
2019-06-09,38.348724365234375,49.167027
2019-06-10,24.021408081054688,37.84505
2019-06-11,31.35439682006836,44.90682
2019-06-12,35.33967590332031,49.380836
2019-06-13,44.680641174316406,51.144173
2019-06-14,60.291412353515625,47.00599
2019-06-15,52.12248992919922,34.91382
2019-06-16,33.55050277709961,42.941006
2019-06-17,32.02152633666992,35.026035
2019-06-18,43.64544677734375,50.52582
2019-06-19,50.00676727294922,69.01488
